Indice,Anno,Trimestre,Coniugato,Divorziato da matrimonio o unione civile,Celibe/nubile,Separato da matrimonio,Vedovo da matrimonio o unione civile
0,2018,Primo,1155,106,833,285,84
1,2018,Secondo,1163,120,757,211,76
2,2018,Terzo,1005,112,729,198,72
3,2018,Quarto,1024,130,708,250,65
4,2019,Primo,943,109,802,213,70
5,2019,Secondo,870,106,800,221,54
6,2019,Terzo,914,101,738,203,62
7,2019,Quarto,843,98,730,216,55
8,2020,Primo,814,100,793,187,52
9,2020,Secondo,2260,194,1932,501,200
10,2020,Terzo,1497,94,1375,290,121
11,2020,Quarto,1482,106,1468,267,118